player,date,game_num,score
kell,2022-05-05 05:45:43,320,3
kell,2022-05-04 14:15:32,319,4
kell,2022-05-03 06:08:43,318,3
kell,2022-05-02 10:08:54,317,5
kell,2022-04-30 13:10:06,315,X
kell,2022-04-29 08:44:08,314,3
kell,2022-04-28 07:48:29,313,X
kell,2022-04-27 07:28:53,312,6
kell,2022-04-26 07:33:37,311,2
kell,2022-04-25 01:05:37,310,5
kell,2022-04-24 10:51:01,309,5
kell,2022-04-23 09:57:02,308,4
kell,2022-04-22 11:40:14,307,3
kell,2022-04-21 09:58:40,306,5
kell,2022-04-20 12:23:07,305,5
kell,2022-04-19 11:25:05,304,3
kell,2022-04-18 10:22:59,303,4
kell,2022-04-17 12:26:00,302,4
kell,2022-04-16 07:29:48,301,4
kell,2022-04-15 10:23:46,300,4
kell,2022-04-14 11:08:46,299,6
kell,2022-04-13 07:55:26,298,4
kell,2022-04-12 07:29:26,297,5
kell,2022-04-11 09:39:06,296,6
kell,2022-04-10 19:16:21,295,5
kell,2022-04-09 10:14:36,294,4
kell,2022-04-08 07:55:46,293,5
kell,2022-04-07 08:16:51,292,6
kell,2022-04-06 05:42:55,291,6
kell,2022-04-05 07:23:17,290,4
kell,2022-04-04 10:07:05,289,X
kell,2022-04-03 05:17:37,288,X
kell,2022-04-02 09:14:29,287,3
kell,2022-04-01 10:33:45,286,6
kell,2022-03-31 07:31:03,285,5
kell,2022-03-30 08:42:37,284,X
kell,2022-03-29 08:47:13,283,6
kell,2022-03-28 09:11:44,282,5
kell,2022-03-27 19:44:16,281,6
kell,2022-03-25 08:58:46,279,5
kell,2022-03-24 13:52:33,278,X
kell,2022-03-23 07:57:11,277,3
kell,2022-03-22 07:39:09,276,4
kell,2022-03-21 07:28:56,275,5
kell,2022-03-20 08:24:21,274,4
kell,2022-03-19 07:50:04,273,X
kell,2022-03-18 09:09:51,272,4
kell,2022-03-17 05:58:36,271,5
kell,2022-03-16 07:31:34,270,6
kell,2022-03-15 08:00:09,269,3
kell,2022-03-14 08:55:35,268,5
kell,2022-03-13 10:16:57,267,6
kell,2022-03-12 16:03:45,266,3
kell,2022-03-11 07:50:06,265,X
kell,2022-03-10 09:09:13,264,3
kell,2022-03-09 07:52:09,263,4
kell,2022-03-08 07:40:40,262,3
kell,2022-03-07 05:58:21,261,6
kell,2022-03-06 08:40:59,260,4
kell,2022-03-05 06:31:22,259,5
kell,2022-03-04 09:12:48,258,5
kell,2022-03-03 07:31:38,257,4
kell,2022-03-02 10:05:03,256,6
kell,2022-03-01 07:25:48,255,6
kell,2022-02-28 07:51:48,254,5
kell,2022-02-24 05:05:30,250,5
kell,2022-02-23 09:14:21,249,5
kell,2022-02-22 09:46:18,248,5
kell,2022-02-21 08:31:02,247,6
kell,2022-02-18 00:22:25,244,5
kell,2022-02-17 08:39:02,243,4
kell,2022-02-11 08:14:40,237,6
kell,2022-02-08 14:35:00,234,6
