player,date,game_num,score
michael,2022-05-25 20:02:36,340,6
michael,2022-05-24 10:25:11,339,5
michael,2022-05-20 08:50:41,335,5
michael,2022-05-19 20:58:15,334,4
michael,2022-05-16 21:36:47,331,4
michael,2022-05-15 00:28:29,330,3
michael,2022-05-14 00:43:55,329,4
michael,2022-05-13 08:55:02,328,5
michael,2022-05-12 22:11:30,327,4
michael,2022-05-11 08:48:52,326,4
michael,2022-05-09 17:52:57,324,5
michael,2022-05-08 15:18:13,323,5
michael,2022-05-07 12:16:44,322,5
michael,2022-05-05 13:33:04,320,X
michael,2022-05-03 07:52:58,318,5
michael,2022-05-02 22:01:30,317,4
michael,2022-05-01 20:35:23,316,4
michael,2022-04-29 08:46:58,314,5
michael,2022-04-28 08:10:44,313,5
michael,2022-04-26 00:41:21,311,4
michael,2022-04-25 15:30:19,310,5
michael,2022-04-24 17:16:35,309,4
michael,2022-04-23 18:00:53,308,3
michael,2022-04-22 18:16:55,307,5
michael,2022-04-20 15:13:16,305,5
michael,2022-04-19 08:44:26,304,3
michael,2022-04-18 11:41:31,303,5
michael,2022-04-17 12:59:58,302,5
michael,2022-04-16 17:04:22,301,4
michael,2022-04-15 11:57:42,300,X
michael,2022-04-13 09:29:42,298,5
michael,2022-04-09 09:01:38,294,3
michael,2022-04-08 07:46:34,293,5
michael,2022-04-01 22:28:40,286,6
michael,2022-03-30 08:49:42,284,2
michael,2022-03-29 08:40:29,283,5
michael,2022-03-28 17:37:01,282,4
michael,2022-03-24 12:11:29,278,5
michael,2022-03-23 08:52:38,277,X
michael,2022-03-17 12:28:37,271,6
michael,2022-03-15 08:29:45,269,6
michael,2022-03-14 08:47:10,268,5
michael,2022-03-11 11:43:05,265,X
michael,2022-03-10 08:46:04,264,4
michael,2022-03-09 10:47:41,263,3
michael,2022-03-08 08:30:34,262,X
michael,2022-03-07 12:31:46,261,4
michael,2022-03-06 10:39:43,260,3
michael,2022-03-05 11:15:56,259,3
michael,2022-03-04 16:12:53,258,6
michael,2022-03-03 08:33:18,257,5
michael,2022-03-01 09:00:38,255,3
michael,2022-02-24 17:36:33,250,4
michael,2022-02-23 23:51:00,249,6
michael,2022-02-22 09:46:53,248,3
michael,2022-02-17 10:14:58,243,5
michael,2022-02-08 14:20:48,234,5
