player,date,game_num,score
michael,2022-05-15 00:28:29,330,3
kell,2022-05-14 11:53:12,329,2
jose,2022-05-14 04:49:28,329,4
michael,2022-05-14 00:43:55,329,4
kell,2022-05-13 09:35:03,328,3
michael,2022-05-13 08:55:02,328,5
nick,2022-05-13 07:23:58,328,3
jose,2022-05-13 07:20:16,328,5
michael,2022-05-12 22:11:30,327,4
jose,2022-05-12 08:02:51,327,3
kell,2022-05-12 05:57:17,327,5
nick,2022-05-12 05:37:57,327,5
jose,2022-05-11 08:49:49,326,5
michael,2022-05-11 08:48:52,326,4
kell,2022-05-11 08:45:07,326,5
jose,2022-05-10 17:56:46,325,4
kell,2022-05-10 07:41:03,325,6
michael,2022-05-09 17:52:57,324,5
nick,2022-05-09 12:56:15,324,5
jose,2022-05-09 08:59:29,324,3
kell,2022-05-09 07:36:52,324,6
michael,2022-05-08 15:18:13,323,5
jose,2022-05-08 11:16:04,323,4
kell,2022-05-08 10:19:18,323,6
kell,2022-05-07 13:27:57,322,3
jose,2022-05-07 12:18:22,322,4
michael,2022-05-07 12:16:44,322,5
jose,2022-05-06 11:28:53,321,3
kell,2022-05-06 10:49:31,321,6
michael,2022-05-05 13:33:04,320,X
jose,2022-05-05 08:45:21,320,3
kell,2022-05-05 05:45:43,320,3
kell,2022-05-04 14:15:32,319,4
nick,2022-05-04 14:04:11,319,3
jose,2022-05-04 01:40:26,319,3
michael,2022-05-03 07:52:58,318,5
jose,2022-05-03 06:44:37,318,3
kell,2022-05-03 06:08:43,318,3
nick,2022-05-03 06:07:22,318,2
michael,2022-05-02 22:01:30,317,4
jose,2022-05-02 13:30:55,317,1
nick,2022-05-02 13:29:27,317,4
kell,2022-05-02 10:08:54,317,5
michael,2022-05-01 20:35:23,316,4
jose,2022-04-30 15:51:49,315,3
kell,2022-04-30 13:10:06,315,X
michael,2022-04-29 08:46:58,314,5
kell,2022-04-29 08:44:08,314,3
jose,2022-04-29 08:34:34,314,2
nick,2022-04-29 06:46:31,314,2
nick,2022-04-28 10:40:13,313,4
jose,2022-04-28 08:16:56,313,6
michael,2022-04-28 08:10:44,313,5
kell,2022-04-28 07:48:29,313,X
jose,2022-04-27 08:37:37,312,3
kell,2022-04-27 07:28:53,312,6
nick,2022-04-27 06:41:16,312,4
kell,2022-04-26 07:33:37,311,2
nick,2022-04-26 07:19:26,311,4
jose,2022-04-26 01:06:44,311,4
michael,2022-04-26 00:41:21,311,4
michael,2022-04-25 15:30:19,310,5
jose,2022-04-25 06:30:22,310,5
kell,2022-04-25 01:05:37,310,5
michael,2022-04-24 17:16:35,309,4
kell,2022-04-24 10:51:01,309,5
nick,2022-04-23 18:31:40,308,5
jose,2022-04-23 18:07:15,308,4
michael,2022-04-23 18:00:53,308,3
kell,2022-04-23 09:57:02,308,4
nick,2022-04-22 18:25:03,307,1
michael,2022-04-22 18:16:55,307,5
kell,2022-04-22 11:40:14,307,3
jose,2022-04-22 10:22:14,307,4
kell,2022-04-21 09:58:40,306,5
jose,2022-04-21 09:53:11,306,6
michael,2022-04-20 15:13:16,305,5
jose,2022-04-20 12:23:32,305,X
kell,2022-04-20 12:23:07,305,5
nick,2022-04-20 11:07:20,305,4
kell,2022-04-19 11:25:05,304,3
nick,2022-04-19 09:09:52,304,5
michael,2022-04-19 08:44:26,304,3
jose,2022-04-19 00:05:32,304,3
michael,2022-04-18 11:41:31,303,5
nick,2022-04-18 10:57:30,303,5
kell,2022-04-18 10:22:59,303,4
jose,2022-04-18 09:35:29,303,4
michael,2022-04-17 12:59:58,302,5
nick,2022-04-17 12:48:38,302,6
kell,2022-04-17 12:26:00,302,4
jose,2022-04-17 12:15:29,302,5
michael,2022-04-16 17:04:22,301,4
jose,2022-04-16 09:37:58,301,5
kell,2022-04-16 07:29:48,301,4
michael,2022-04-15 11:57:42,300,X
kell,2022-04-15 10:23:46,300,4
nick,2022-04-15 09:11:17,300,5
jose,2022-04-15 07:13:33,300,4
kell,2022-04-14 11:08:46,299,6
nick,2022-04-14 11:05:35,299,5
jose,2022-04-14 00:22:05,299,3
michael,2022-04-13 09:29:42,298,5
nick,2022-04-13 09:11:47,298,4
jose,2022-04-13 07:58:06,298,4
kell,2022-04-13 07:55:26,298,4
jose,2022-04-12 09:16:52,297,3
nick,2022-04-12 08:32:40,297,5
kell,2022-04-12 07:29:26,297,5
kell,2022-04-11 09:39:06,296,6
nick,2022-04-11 09:21:33,296,3
jose,2022-04-11 08:25:49,296,4
kell,2022-04-10 19:16:21,295,5
jose,2022-04-10 14:53:42,295,3
nick,2022-04-10 14:48:00,295,6
jose,2022-04-09 11:13:26,294,3
kell,2022-04-09 10:14:36,294,4
nick,2022-04-09 09:31:08,294,4
michael,2022-04-09 09:01:38,294,3
kell,2022-04-08 07:55:46,293,5
michael,2022-04-08 07:46:34,293,5
nick,2022-04-08 07:30:29,293,4
jose,2022-04-08 07:25:17,293,4
nick,2022-04-07 08:41:45,292,6
jose,2022-04-07 08:39:12,292,3
kell,2022-04-07 08:16:51,292,6
jose,2022-04-06 12:39:56,291,4
nick,2022-04-06 06:46:50,291,5
kell,2022-04-06 05:42:55,291,6
jose,2022-04-05 09:16:32,290,5
nick,2022-04-05 07:27:11,290,5
kell,2022-04-05 07:23:17,290,4
kell,2022-04-04 10:07:05,289,X
d,2022-04-04 09:56:18,289,4
jose,2022-04-04 09:51:22,289,4
nick,2022-04-04 09:39:37,289,5
jose,2022-04-03 10:37:57,288,3
nick,2022-04-03 08:47:01,288,6
kell,2022-04-03 05:17:37,288,X
kell,2022-04-02 09:14:29,287,3
nick,2022-04-02 08:02:26,287,4
michael,2022-04-01 22:28:40,286,6
kell,2022-04-01 10:33:45,286,6
jose,2022-04-01 09:26:18,286,5
nick,2022-04-01 09:22:33,286,5
jose,2022-03-31 16:36:13,285,4
kell,2022-03-31 07:31:03,285,5
nick,2022-03-31 06:04:24,285,2
nick,2022-03-30 18:14:31,284,4
jose,2022-03-30 10:23:20,284,5
michael,2022-03-30 08:49:42,284,2
kell,2022-03-30 08:42:37,284,X
nick,2022-03-29 12:07:40,283,5
jose,2022-03-29 11:04:05,283,4
kell,2022-03-29 08:47:13,283,6
michael,2022-03-29 08:40:29,283,5
michael,2022-03-28 17:37:01,282,4
jose,2022-03-28 17:33:22,282,6
kell,2022-03-28 09:11:44,282,5
kell,2022-03-27 19:44:16,281,6
jose,2022-03-27 17:34:27,281,4
nick,2022-03-25 09:59:32,279,6
kell,2022-03-25 08:58:46,279,5
jose,2022-03-25 08:19:54,279,3
nick,2022-03-24 14:11:13,278,5
kell,2022-03-24 13:52:33,278,X
jose,2022-03-24 13:40:52,278,3
michael,2022-03-24 12:11:29,278,5
jose,2022-03-23 09:05:45,277,2
michael,2022-03-23 08:52:38,277,X
kell,2022-03-23 07:57:11,277,3
kell,2022-03-22 07:39:09,276,4
jose,2022-03-21 09:05:06,275,5
kell,2022-03-21 07:28:56,275,5
kell,2022-03-20 08:24:21,274,4
kell,2022-03-19 07:50:04,273,X
kell,2022-03-18 09:09:51,272,4
michael,2022-03-17 12:28:37,271,6
kell,2022-03-17 05:58:36,271,5
kell,2022-03-16 07:31:34,270,6
michael,2022-03-15 08:29:45,269,6
jose,2022-03-15 08:26:46,269,5
kell,2022-03-15 08:00:09,269,3
kell,2022-03-14 08:55:35,268,5
michael,2022-03-14 08:47:10,268,5
jose,2022-03-13 17:13:53,267,4
kell,2022-03-13 10:16:57,267,6
