player,date,game_num,score,LOSS
Dad,2022-04-24 11:05:23,309,4,0.0
Chris,2022-04-24 09:35:26,309,4,0.0
Danielle,2022-04-24 00:25:50,309,4,0.0
Michael,2022-04-23 18:00:49,308,3,0.0
Chris,2022-04-23 17:59:09,308,3,0.0
Dad,2022-04-23 00:43:38,308,4,0.0
Danielle,2022-04-23 00:25:48,308,2,0.0
Michael,2022-04-22 18:17:00,307,5,0.0
Danielle,2022-04-22 10:24:06,307,2,0.0
Chris,2022-04-22 08:08:36,307,2,0.0
Dad,2022-04-22 00:17:02,307,4,0.0
Dad,2022-04-21 10:22:43,306,4,0.0
Danielle,2022-04-21 09:12:53,306,3,0.0
Chris,2022-04-21 08:18:09,306,6,0.0
Chris,2022-04-20 18:41:44,305,6,0.0
Michael,2022-04-20 15:13:13,305,5,0.0
Dad,2022-04-20 00:25:41,305,6,0.0
Danielle,2022-04-20 00:06:14,305,5,0.0
Danielle,2022-04-19 10:38:02,304,X,1.0
Dad,2022-04-19 10:20:44,304,6,0.0
Chris,2022-04-19 08:43:40,304,X,1.0
Michael,2022-04-19 08:39:37,304,3,0.0
Chris,2022-04-18 10:17:59,303,3,0.0
Michael,2022-04-18 00:18:15,303,5,0.0
Danielle,2022-04-18 00:13:15,303,4,0.0
Dad,2022-04-18 00:07:29,303,5,0.0
Dad,2022-04-17 17:03:46,294,2,0.0
Dad,2022-04-17 01:04:31,302,3,0.0
Chris,2022-04-17 00:22:57,302,5,0.0
Michael,2022-04-17 00:14:49,302,5,0.0
Danielle,2022-04-17 00:07:38,302,4,0.0
Michael,2022-04-16 17:04:16,301,4,0.0
Danielle,2022-04-16 10:38:44,301,5,0.0
Chris,2022-04-16 08:13:53,301,6,0.0
Dad,2022-04-16 00:59:20,301,4,0.0
Michael,2022-04-15 11:57:45,300,X,1.0
Chris,2022-04-15 08:12:13,300,4,0.0
Danielle,2022-04-15 07:57:59,300,3,0.0
Dad,2022-04-15 00:57:21,300,6,0.0
Michael,2022-04-14 20:51:00,299,X,1.0
Danielle,2022-04-14 08:29:56,299,5,0.0
Chris,2022-04-14 06:19:20,299,4,0.0
Dad,2022-04-14 01:08:42,299,2,0.0
Michael,2022-04-13 09:29:32,298,5,0.0
Chris,2022-04-13 07:59:56,298,3,0.0
Dad,2022-04-13 00:57:52,298,4,0.0
Danielle,2022-04-13 00:26:04,298,2,0.0
Chris,2022-04-12 09:00:09,297,4,0.0
Dad,2022-04-12 01:03:48,297,3,0.0
Danielle,2022-04-12 00:44:54,297,4,0.0
Chris,2022-04-11 16:54:47,296,5,0.0
Danielle,2022-04-11 11:32:39,296,4,0.0
Dad,2022-04-11 01:01:37,296,4,0.0
Chris,2022-04-10 22:33:35,295,4,0.0
Danielle,2022-04-10 08:38:33,295,4,0.0
Dad,2022-04-10 01:39:58,295,5,0.0
Michael,2022-04-09 09:01:30,294,3,0.0
Dad,2022-04-09 01:01:55,294,3,0.0
Chris,2022-04-09 00:37:30,294,3,0.0
Danielle,2022-04-09 00:35:01,294,4,0.0
Chris,2022-04-08 08:34:31,293,4,0.0
Michael,2022-04-08 07:46:15,293,5,0.0
Danielle,2022-04-08 07:42:24,293,4,0.0
Dad,2022-04-08 00:58:37,293,4,0.0
Chris,2022-04-07 08:21:19,292,4,0.0
Danielle,2022-04-07 07:36:24,292,4,0.0
Dad,2022-04-07 01:06:00,292,5,0.0
Michael,2022-04-06 18:08:24,291,6,0.0
Danielle,2022-04-06 10:37:58,291,6,0.0
Dad,2022-04-06 10:32:32,291,5,0.0
Chris,2022-04-06 09:44:38,291,5,0.0
Chris,2022-04-05 12:48:40,290,5,0.0
